"","Cluster","No-Surgical","Surgical","Ratio","p.value"
"1",1,121,31,0.26,8.34276561301058e-37
"2",2,57,58,1.02,0.00126991461901225
"3",3,11,96,8.73,2.59088744478435e-09
"4",4,36,82,2.28,0.202651570345161
"5",5,9,96,10.67,3.2798107173079e-10
"6",6,2,56,28,1.35965173460925e-07
